kw	vol	pos	traffic	url
szafka nocna	49500	27	0	meble.pl/meble/szafki-nocne/
szafka łazienkowa	40500	32	0	meble.pl/na-wymiar/szafki-lazienkowe
komoda biała	27100	10	417.34	meble.pl/meble/komody,kolor-bialy/
biurko narożnikowe	27100	30	0	meble.pl/meble/biurka,biurka-narozne/
biurko narożna	27100	30	0	meble.pl/meble/biurka,biurka-narozne/
regał na zabawki	22200	11	0	meble.pl/poradnik/art9205,regal-na-zabawki-to-praktyczny-pomysl-na-zachowanie-porzadku-w-pokoju-malucha.html
szafka nocna biała	8100	18	0	meble.pl/meble/szafki-nocne,kolor-bialy/
pokrowiec na meble ogrodowe	6600	47	0	meble.pl/wyposazenie-wnetrz/akcesoria-ogrodowe,pokrowce--/
szafa do pokoju dziecięcego	5400	11	0	meble.pl/poradnik/art8799,szafa-do-pokoju-dzieciecego-jaka-powinna-byc.html
komoda biała połysk	5400	15	0	meble.pl/meble/komody,kolor-bialy/
szafy na ubrania	5400	39	0	meble.pl/na-wymiar/szafy
szafa do pokoju	5400	41	0	meble.pl/na-wymiar/szafy
szafki do pokoju dziecka	5400	14	0	meble.pl/poradnik/art8799,szafa-do-pokoju-dzieciecego-jaka-powinna-byc.html
meble do pokoju dziewczynki	2900	20	0	meble.pl/poradnik/art8887,meble-dzieciece-dla-dziewczynki-pomysly-na-aranzacje.html
szafka nocna drewniana	2900	25	0	meble.pl/meble/szafki-nocne,drewno/
łóżko piętrowe 2 osobowe	2900	38	0	meble.pl/meble/lozka,2osobowe,pietrowe-lozko/
biurka narożne białe	2900	42	0	meble.pl/meble/biurka,biurka-narozne/
szafka nocna czarna	2900	13	0	meble.pl/meble/szafki-nocne,kolor-czarny/
biurka regulowane elektryczne	2900	51	0	
komoda biała z szufladami	2400	9	43.2	meble.pl/meble/komody,kolor-bialy/
szafka nocna 30 cm	2400	17	0	meble.pl/p3483514,waska-szafka-nocna-slim-30x40-cm-bialy.html
meble łazienkowe na wymiar	1900	1	854.4	meble.pl/na-wymiar/szafki-lazienkowe
wąska szafka nocna	1900	29	0	meble.pl/p3483514,waska-szafka-nocna-slim-30x40-cm-bialy.html
komoda biała nowoczesna	1900	14	0	meble.pl/meble/komody,kolor-bialy,nowoczesne/
łóżko piętrowe 1 osobowe	1600	10	15.4	meble.pl/meble/lozka,1osobowe,pietrowe-lozko/
komoda biała z drewnem	1600	23	0	meble.pl/meble/komody,drewno,kolor-bialy/
szafa do pokoju młodzieżowego	1600	45	0	meble.pl/poradnik/art9248,szafa-mlodziezowa-czego-potrzebuje-wspolczesny-nastolatek.html
szafka na buty czarna	1600	27	0	meble.pl/p3300376,szafka-na-buty-roma-4d-czarny-mat.html
łóżko z pojemnikiem	1600	14	0	meble.pl/meble/lozka,z-pojemnikiem/
biurko narożne z regałem	1300	19	0	meble.pl/meble/biurka,biurka-narozne/
ekskluzywne meble ogrodowe	1300	45	0	meble.pl/poradnik/art9372,ekskluzywne-meble-ogrodowe-oznaka-dobrego-gustu.html
malutka szafka nocna	1300	51	0	
szafka nocna szara	1300	16	0	meble.pl/meble/szafki-nocne,kolor-szary/
szafka nocna boho	1000	7	28.3	meble.pl/meble/szafki-nocne,boho-etniczny/
